sku,name,link,price
172885,Изолента ПВХ IEK UIZ-20-10-K02 черная 19 мм 20 м,https://glavsnab.net/izolenta-pvh-iek-uiz-20-10-k02-chernaya-19-mm-20-m.html,94.0000
307504,Фанера ФК 1525х1525х4 мм сорт 3/4 шлифованная Ш1,https://glavsnab.net/fanera-fk-1525h1525h4-mm-sort-3-4-shlifovannaya-sh1.html,535.0000
836773,Удлинитель профилей Gyproc 40925 60х27 мм,https://glavsnab.net/udlinitel-profiley-gyproc-40925-60h27-mm.html,16.3000
400898,Профиль пластиковый углозащитный с маяком 25х25х6 мм 3000 мм,https://glavsnab.net/profil-plastikoviy-uglozaschitniy-s-mayakom-25h25h6-mm-3000-mm.html,157.0000
600697,Сетчатая ПЭ-лента Master Color 30-6143 для наружных работ 38 мм 25 м,https://glavsnab.net/setchataya-pe-lenta-master-color-30-6143-dlya-naruzhnih-rabot-38-mm-25-m.html,680.0000
033613,"Лента монтажная перфорированная ЛМП 25000x20x0,7 мм",https://glavsnab.net/lenta-montazhnaya-perforirovannaya-lmp-25000x20x0-7-mm.html,1089.0000
846501,Лента алюминиевая Aviora 302-160 клейкая 40000х48 мм   ,https://glavsnab.net/lenta-alyuminievaya-aviora-302-160-kleykaya-40000h48-mm.html,383
430644,Плита OSB-3 влагостойкая Kronospan 2500х1250х18 мм,https://glavsnab.net/plita-osb-3-vlagostoykaya-kronospan-2500kh1250kh18-mm.html,1870.0000
485753,Набор шплинтов Сибртех S головки с фиксацией 555 предметов 47604,https://glavsnab.net/nabor-shplintov-sibrtekh-s-golovki-s-fiksatsiyey-150-predmetov-47605.html,753.0000
226840,Удлинитель подвеса Knauf Нониус 12х8х1500 мм,https://glavsnab.net/udlinitel-podvesa-knauf-nonius-12kh8kh1500-mm.html,98.0000
440477,OSB-3 плита Ultralam 1250х2500х15 мм,https://glavsnab.net/osb-3-plita-ultralam-1250kh2500kh15mm.html,1820.0000
318350,"Плита цементная Knauf Аквапанель Руфтоп 1200х900х12,5 мм",https://glavsnab.net/plita-tsementnaya-knauf-akvapanel-ruftop-1200kh900kh12-5-mm.html,1264.0000
226839,Подвес Knauf Нониус верхняя часть 600 мм,https://glavsnab.net/podves-knauf-nonius-verhnyaya-chast-600-mm.html,49.0000
462385,Соединитель для ПП-профилей Албес Премиум 60х27 мм одноуровневый краб,https://glavsnab.net/soyedinitel-dlya-pp-profiley-albes-premium-60kh27-mm-odnourovnevyy-krab.html,29.0000
169175,Лента кромочная Knauf для полов из ГВЛ 20000х100 мм,https://glavsnab.net/lenta-kromochnaya-knauf-dlya-polov-iz-gvl-20000kh100-mm.html,350.0000
307510,Фанера ФК 1525х1525х18 мм сорт 3/4 шлифованная Ш1,https://glavsnab.net/fanera-fk-1525h1525h18-mm-sort-3-4-shlifovannaya-sh1.html,2056.0000
295732,Клеящая лента Момент Супер Лента 25 м,https://glavsnab.net/kleevaya-lenta-moment-super-lenta-25-m.html,596.0000
033634,"Лента уплотнительная TDStels Дихтунгсбанд 9,5х3000 см",https://glavsnab.net/lenta-uplotnitelnaya-tdstels-dihtungsband-9-5h3000-sm.html,618.0000
462208,Подвес анкерный Албес 60x27 мм для потолочного профиля,https://glavsnab.net/podves-ankernyy-albes-60x27-mm-dlya-potolochnogo-profilya.html,19.0000
302893,"Шифер зеленый 1750х1130х5,2 мм 8 волн",https://glavsnab.net/shifer-belaci-zeleniy-1750h1130h5-2-mm-8-voln.html,990.0000
226846,Адаптер Knauf 30-280 градусов для соединителя Мульти 60х27 95х35х3 мм,https://glavsnab.net/adapter-knauf-30-280-gradusov-dlya-soedinitelya-multi-cd-60h27-95h35h3-mm.html,2618.0000
299465,Клеящая лента Момент Хозлента универсальная серебряная 50 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-universalnaya-serebryanaya-50-m.html,617.0000
